Complete Game Pass Master List by u/ABattleVet,512,,,,,,Playstation Plus,,,,See suggestions tab for color coding,,The community can add games to cross play/play anywhere,,Public Notes,
Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre (Giantbomb),Xbox Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes
Eiyuden Chronicle: Hundred Heroes,Xbox / PC,Yes,Coming Soon,Apr 2024,,-5.56,Apr 2024,0.00,,,Role-Playing,,,RP,,
S.T.A.L.K.E.R. 2: Heart of Chornobyl,Xbox / PC,Yes,Coming Soon,Mar 2024,,-4.80,Mar 2024,0.00,,,First-Person Shooter / Action-Adventure,,Delayed to Q1 2024,RP,,
SteamWorld Build,,,,Dec 2023,,,,,,,,,,,,
Rollerdrome,,,,Nov 2023,,,,,,,,,,,,
Persona 5: Tactica,Xbox / PC,Yes,Coming Soon,Nov 2023,,-0.36,Nov 2023,0.00,,,Strategy / Role-Playing,,,RP,,
Spirittea,Xbox / PC,Yes,Coming Soon,Nov 2023,,-0.23,Nov 2023,0.00,,,Strategy / Adventure / Role-Playing / Simulation,,,,,
Dungeons 4,Xbox / PC,Yes,Coming Soon,Nov 2023,,-0.10,Nov 2023,0.00,,,Strategy / Simulation,,,,,
Like a Dragon Gaiden: The Man Who Erased His Name,Xbox / PC,Yes,Coming Soon,Nov 2023,,-0.10,Nov 2023,0.00,,,Action-Adventure,,,RP,,
Wild Hearts,Xbox / PC,Yes,Coming Soon,Nov 2023,,-0.10,Feb 2023,0.73,79,46,Action-Adventure,,,,,
Football Manager 2024,Xbox / PC,Yes,Active,Nov 2023,,0.00,Nov 2023,0.00,,,Simulation / Soccer,,,,,
Thirsty Suitors,Xbox / PC,Yes,Active,Nov 2023,,0.13,Nov 2023,0.00,,,Adventure / Role-Playing,,,,,
Headbangers: Rhythm Royale,Xbox / PC,Yes,Active,Oct 2023,,0.20,Oct 2023,0.00,,,Minigame Collection / Music/Rhythm,,,RP,,
Jusant,Xbox / PC,Yes,Active,Oct 2023,,0.20,Oct 2023,0.00,,,Adventure,,,RP,,
Wartales,Xbox / PC,Yes,Active,Oct 2023,,0.20,Dec 2021,1.92,80,38,Strategy / Adventure / Role-Playing,,,,,
Dead Space (2023),Xbox / PC,Yes,Active,Oct 2023,,0.36,Jan 2023,0.75,88,12,Shooter / Action-Adventure,Exclusive,,M,"Blood and Gore, Intense Violence, Strong Language",
Mineko's Night Market,Xbox / PC,Yes,Active,Oct 2023,,0.36,Sep 2023,0.08,66,18,Adventure,,,RP,,
Cities: Skylines II,PC,,Active,Oct 2023,,0.43,Oct 2023,0.00,75,25,Simulation,,,RP,,
F1 Manager 2023,Xbox / PC,Yes,Active,Oct 2023,,0.59,Jul 2023,0.22,79,16,Driving/Racing / Simulation,,,,,
Like a Dragon: Ishin!,Xbox / PC,Yes,Active,Oct 2023,,0.66,Feb 2023,0.65,81,24,Brawler / Action-Adventure,,,,,
From Space,Xbox / PC,Yes,Active,Oct 2023,,0.82,Oct 2023,0.00,60,13,Action / Shooter,,,,,
Forza Motorsport (2023),Xbox / PC,Yes,Active,Oct 2023,,0.89,Oct 2023,0.00,85,8,Driving/Racing,Exclusive,,RP,,
Gotham Knights,Xbox / PC,Yes,Active,Oct 2023,,1.12,Oct 2022,0.95,66,17,Role-Playing / Brawler / Action-Adventure,Exclusive,,RP,,Region lock
The Lamplighters League,Xbox / PC,Yes,Active,Oct 2023,,1.12,Oct 2023,0.00,76,26,Strategy / Role-Playing,Exclusive,,RP,,
Cocoon,Xbox / PC,,Active,Sep 2023,,1.25,Sep 2023,0.00,89,5,Puzzle,,,RP,,
Phoenix Wright: Ace Attorney Trilogy,Xbox / PC,Yes,Active,Sep 2023,,1.35,Apr 2012,11.48,80,66,Adventure / Compilation / Puzzle,,,T,"Violence, Blood, Suggestive Themes, Use of Tobacco",
PAYDAY 3,Xbox / PC,Yes,Active,Sep 2023,,1.51,Sep 2023,0.00,68,10,First-Person Shooter,Exclusive,,RP,,
Party Animals,Xbox,Yes,Active,Sep 2023,,1.55,Sep 2023,0.00,77,1,Fighting / Minigame Collection,,,RP,,
Lies of P,Xbox / PC,Yes,Active,Sep 2023,,1.58,Sep 2023,0.00,81,18,Role-Playing  Action-Adventure,,,RP,,
Solar Ash,Xbox / PC,Yes,Active,Sep 2023,,1.74,Dec 2021,1.78,78,6,Action,,,RP,,
Spiritfarer,Xbox / PC,Touch Controls,Active,Sep 2023,,1.78,Aug 2020,3.07,86,21,Adventure,,"Game Pass Core launch title (9/14/23), Joined 8/18/20, left 8/31/22",T,"Language, Use of Tobacco, Violent References",
Starfield,Xbox / PC,Yes,Active,Sep 2023,,2.01,Sep 2023,0.00,84,20,Role-Playing / Action-Adventure,Exclusive,,RP,,
GRIS,Xbox / PC,Yes,Active,Sep 2023,,2.04,Dec 2018,4.68,84,4,Puzzle / Platformer,,"Joined 1/16/20, left 1/29/21",E,,
Call of the Wild: The Angler,Xbox / PC,,Active,Aug 2023,,2.27,Aug 2022,0.99,63,,Sports / Fishing,,,RP,,
Sea of Stars,Xbox / PC,Yes,Active,Aug 2023,,2.27,Aug 2023,0.00,90,20,Role-Playing,,,RP,,
The Texas Chainsaw Massacre,Xbox / PC,Yes,Active,Aug 2023,,2.63,Aug 2023,0.00,72,,Action,,,RP,,
Firewatch,Xbox / PC,Touch Controls,Active,Aug 2023,,2.66,Feb 2016,7.52,83,4,Adventure,,"Game Pass Core launch title (9/14/23), Joined 2/16/21, left 12/15/22",M,"Nudity, Suggestive Themes, Alcohol Reference, Drug Reference, Strong Language",
Airborne Kingdom,Xbox / PC,Yes,Active,Aug 2023,,2.89,Dec 2020,2.65,76,8,Strategy / Real-Time Strategy,,,RP,,
Limbo,Xbox / PC,Yes,Active,Aug 2023,,2.93,Jul 2010,13.06,85,4,Puzzle / Platformer,,"Game Pass Core launch title (9/14/23), Joined 8/1/17, left 6/15/22",T,"Blood, Violence",
Broforce Forever,Xbox / PC,Yes,Active,Aug 2023,,2.96,Aug 2023,0.00,80,,,,,RP,,
A Short Hike,Xbox / PC,Yes,Active,Aug 2023,,3.12,Jul 2019,4.01,82,2,Action-Adventure,,,E,,
Celeste,Xbox / PC,Touch Controls,Active,Aug 2023,,3.19,Jan 2018,5.52,91,8,Platformer,,"Game Pass Core launch title (9/14/23), Joined 11/5/20, left 10/31/21",E10+,"Alcohol Reference, Fantasy Violence, Mild Language",
Venba,Xbox / PC,,Active,Jul 2023,,3.22,Jul 2023,0.00,79,2,Adventure,,,RP,,
Serious Sam: Siberian Mayhem,Xbox / PC,Yes,Active,Jul 2023,,3.42,Jan 2022,1.50,70,5,First-Person Shooter,Exclusive,,M,"Blood and Gore, Intense Violence, Strong Language, Suggestive Themes ",
Figment 2: Creed Valley,Xbox / PC,Yes,Active,Jul 2023,,3.58,Mar 2023,0.36,74,4,Action-Adventure,,,RP,,
The Wandering Village,Xbox / PC,Yes,Active,Jul 2023,,3.58,Sep 2022,0.85,,14,Strategy / Simulation,,,RP,,
Maquette,Xbox / PC,Yes,Active,Jul 2023,,3.62,Mar 2021,2.38,70,4,Puzzle,,,E10+,"Alcohol Reference, Lyrics ",
Techtonica (Game Preview),Xbox / PC,Yes,Active,Jul 2023,,3.65,Jul 2023,0.00,,,Strategy / Simulation,,,RP,,
TOEM,Xbox / PC,Yes,Active,Jul 2023,,3.65,Sep 2021,1.83,79,4,Adventure / Puzzle,,,RP,,
The Cave,Xbox,Yes,Active,Jul 2023,,3.65,Nov 2013,9.66,69,5,Adventure / Platformer,,,T,"Fantasy Violence, Blood",
Exoprimal,Xbox / PC,Yes,Active,Jul 2023,,3.78,Jul 2023,0.00,73,6,Action,,,M,"Blood, Strong Language, Violence",
Common'hood,Xbox / PC,Yes,Active,Jul 2023,,3.88,Nov 2022,0.67,,23,Simulation,,,RP,,
McPixel 3,Xbox / PC,Yes,Active,Jul 2023,,4.04,Nov 2022,0.64,75,5,Minigame Collection,,,RP,,
Grand Theft Auto V,Xbox,Yes,Active,Jul 2023,,4.08,Sep 2013,9.80,97,32,Driving/Racing / Action-Adventure,,"Removed 5/30/20, returned 4/8/21, removed 8/8/21",M,"Blood and Gore, Intense Violence, Mature Humor, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",
Sword and Fairy: Together Forever,Xbox / PC,Yes,Active,Jul 2023,,4.04,Oct 2021,1.71,73,24,Role-Playing / Action-Adventure,,,T,"Blood, Language, Use of Alcohol, Violence",
Arcade Paradise,Xbox / PC,,Active,Jul 2023,,4.14,Aug 2022,0.89,81,26,Simulation,,,T,"Blood, Fantasy Violence, Lyrics",
Story of Seasons: Friends of Mineral Town,Xbox / PC,,Active,Jun 2023,,4.27,Oct 2019,3.70,72,30,Simulation,,,E10+,"Comic Mischief, Suggestive Themes, Use of Alcohol",
