Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Genre (Giantbomb),ESRB
Football Manager 2024,Xbox / PC,Yes,Active,Nov 2023,,0.00,Nov 2023,0.00,,Simulation / Soccer,
Thirsty Suitors,Xbox / PC,Yes,Active,Nov 2023,,0.13,Nov 2023,0.00,,Adventure / Role-Playing,
Headbangers: Rhythm Royale,Xbox / PC,Yes,Active,Oct 2023,,0.20,Oct 2023,0.00,,Minigame Collection / Music/Rhythm,RP
Jusant,Xbox / PC,Yes,Active,Oct 2023,,0.20,Oct 2023,0.00,,Adventure,RP
Wartales,Xbox / PC,Yes,Active,Oct 2023,,0.20,Dec 2021,1.92,80,Strategy / Adventure / Role-Playing,
Dead Space (2023),Xbox / PC,Yes,Active,Oct 2023,,0.36,Jan 2023,0.75,88,Shooter / Action-Adventure,M
Mineko's Night Market,Xbox / PC,Yes,Active,Oct 2023,,0.36,Sep 2023,0.08,66,Adventure,RP
Cities: Skylines II,PC,,Active,Oct 2023,,0.43,Oct 2023,0.00,75,Simulation,RP
F1 Manager 2023,Xbox / PC,Yes,Active,Oct 2023,,0.59,Jul 2023,0.22,79,Driving/Racing / Simulation,
Like a Dragon: Ishin!,Xbox / PC,Yes,Active,Oct 2023,,0.66,Feb 2023,0.65,81,Brawler / Action-Adventure,
From Space,Xbox / PC,Yes,Active,Oct 2023,,0.82,Oct 2023,0.00,60,Action / Shooter,
Forza Motorsport (2023),Xbox / PC,Yes,Active,Oct 2023,,0.89,Oct 2023,0.00,85,Driving/Racing,RP
Gotham Knights,Xbox / PC,Yes,Active,Oct 2023,,1.12,Oct 2022,0.95,66,Role-Playing / Brawler / Action-Adventure,RP
The Lamplighters League,Xbox / PC,Yes,Active,Oct 2023,,1.12,Oct 2023,0.00,76,Strategy / Role-Playing,RP
Cocoon,Xbox / PC,,Active,Sep 2023,,1.25,Sep 2023,0.00,89,Puzzle,RP
Phoenix Wright: Ace Attorney Trilogy,Xbox / PC,Yes,Active,Sep 2023,,1.35,Apr 2012,11.48,80,Adventure / Compilation / Puzzle,T
PAYDAY 3,Xbox / PC,Yes,Active,Sep 2023,,1.51,Sep 2023,0.00,68,First-Person Shooter,RP
Party Animals,Xbox,Yes,Active,Sep 2023,,1.55,Sep 2023,0.00,77,Fighting / Minigame Collection,RP
Lies of P,Xbox / PC,Yes,Active,Sep 2023,,1.58,Sep 2023,0.00,81,Role-Playing  Action-Adventure,RP
Solar Ash,Xbox / PC,Yes,Active,Sep 2023,,1.74,Dec 2021,1.78,78,Action,RP
Spiritfarer,Xbox / PC,Touch Controls,Active,Sep 2023,,1.78,Aug 2020,3.07,86,Adventure,T
Starfield,Xbox / PC,Yes,Active,Sep 2023,,2.01,Sep 2023,0.00,84,Role-Playing / Action-Adventure,RP
GRIS,Xbox / PC,Yes,Active,Sep 2023,,2.04,Dec 2018,4.68,84,Puzzle / Platformer,E
Call of the Wild: The Angler,Xbox / PC,,Active,Aug 2023,,2.27,Aug 2022,0.99,63,Sports / Fishing,RP
Sea of Stars,Xbox / PC,Yes,Active,Aug 2023,,2.27,Aug 2023,0.00,90,Role-Playing,RP
The Texas Chainsaw Massacre,Xbox / PC,Yes,Active,Aug 2023,,2.63,Aug 2023,0.00,72,Action,RP
Firewatch,Xbox / PC,Touch Controls,Active,Aug 2023,,2.66,Feb 2016,7.52,83,Adventure,M
Airborne Kingdom,Xbox / PC,Yes,Active,Aug 2023,,2.89,Dec 2020,2.65,76,Strategy / Real-Time Strategy,RP
Limbo,Xbox / PC,Yes,Active,Aug 2023,,2.93,Jul 2010,13.06,85,Puzzle / Platformer,T
Broforce Forever,Xbox / PC,Yes,Active,Aug 2023,,2.96,Aug 2023,0.00,80,,RP
A Short Hike,Xbox / PC,Yes,Active,Aug 2023,,3.12,Jul 2019,4.01,82,Action-Adventure,E
Celeste,Xbox / PC,Touch Controls,Active,Aug 2023,,3.19,Jan 2018,5.52,91,Platformer,E10+
Venba,Xbox / PC,,Active,Jul 2023,,3.22,Jul 2023,0.00,79,Adventure,RP
Serious Sam: Siberian Mayhem,Xbox / PC,Yes,Active,Jul 2023,,3.42,Jan 2022,1.50,70,First-Person Shooter,M
Figment 2: Creed Valley,Xbox / PC,Yes,Active,Jul 2023,,3.58,Mar 2023,0.36,74,Action-Adventure,RP
The Wandering Village,Xbox / PC,Yes,Active,Jul 2023,,3.58,Sep 2022,0.85,,Strategy / Simulation,RP
Maquette,Xbox / PC,Yes,Active,Jul 2023,,3.62,Mar 2021,2.38,70,Puzzle,E10+
Techtonica (Game Preview),Xbox / PC,Yes,Active,Jul 2023,,3.65,Jul 2023,0.00,,Strategy / Simulation,RP
TOEM,Xbox / PC,Yes,Active,Jul 2023,,3.65,Sep 2021,1.83,79,Adventure / Puzzle,RP
The Cave,Xbox,Yes,Active,Jul 2023,,3.65,Nov 2013,9.66,69,Adventure / Platformer,T
Exoprimal,Xbox / PC,Yes,Active,Jul 2023,,3.78,Jul 2023,0.00,73,Action,M
Common'hood,Xbox / PC,Yes,Active,Jul 2023,,3.88,Nov 2022,0.67,,Simulation,RP
McPixel 3,Xbox / PC,Yes,Active,Jul 2023,,4.04,Nov 2022,0.64,75,Minigame Collection,RP
Grand Theft Auto V,Xbox,Yes,Active,Jul 2023,,4.08,Sep 2013,9.80,97,Driving/Racing / Action-Adventure,M
Sword and Fairy: Together Forever,Xbox / PC,Yes,Active,Jul 2023,,4.04,Oct 2021,1.71,73,Role-Playing / Action-Adventure,T
Arcade Paradise,Xbox / PC,,Active,Jul 2023,,4.14,Aug 2022,0.89,81,Simulation,T
Story of Seasons: Friends of Mineral Town,Xbox / PC,,Active,Jun 2023,,4.27,Oct 2019,3.70,72,Simulation,E10+
Bramble: The Mountain King,Xbox / PC,Yes,Active,Jun 2023,,4.34,Apr 2023,0.17,80,Adventure / Platformer,M
F.I.S.T.: Forged In Shadow Torch,Xbox / PC,Yes,Active,Jun 2023,,4.34,Sep 2021,1.80,81,Brawler / Platformer / Action-Adventure,E10+
Need for Speed: Unbound,Xbox / PC,Yes,Active,Jun 2023,,4.50,Nov 2022,0.56,77,Driving/Racing,T
The Bookwalker: Thief of Tales,Xbox / PC,,Active,Jun 2023,,4.50,Jun 2023,0.00,75,Adventure,RP
Dordogne,Xbox / PC,Yes,Active,Jun 2023,,4.80,Jun 2023,0.00,74,Adventure / Puzzle,E
Rune Factory 4: Special,Xbox / PC,Yes,Active,Jun 2023,,4.96,Jul 2012,10.89,82,Action / Role-Playing,T
Stacking,Xbox,Yes,Active,Jun 2023,,4.96,Feb 2011,12.34,82,Adventure / Puzzle,E10+
Amnesia: The Bunker,Xbox / PC,Yes,Active,Jun 2023,,5.03,Jun 2023,0.00,77,Adventure,RP
Car Mechanic Simulator 2021,Xbox / PC,Yes,Active,Jun 2023,,5.19,Aug 2021,1.81,70,Simulation,E
Slayers X: Terminal Aftermath - Vengance of the Slayer,Xbox / PC,Yes,Active,Jun 2023,,5.19,Jun 2023,0.00,80,First-Person Shooter,RP
The Big Con,Xbox / PC,Yes,Active,Jun 2023,,5.19,Aug 2021,1.75,77,Adventure,T
Chicory: A Colorful Tale,Xbox / PC,,Active,May 2023,,5.26,Jun 2021,1.97,90,Action-Adventure,E
Farworld Pioneers,Xbox / PC,,Active,May 2023,,5.26,May 2023,0.00,58,,RP
Massive Chalice,Xbox,Yes,Active,May 2023,,5.42,Jun 2015,7.99,72,Strategy / Role-Playing,T
