name,metascore
Tom Clancy's Splinter Cell: Chaos Theory,94
Tom Clancy's Splinter Cell: Pandora Tomorrow,93
Unreal Championship 2: The Liandri Conflict,85
Just Dance 2019,77
FIFA 19,83
Fallout 3: Game of the Year Edition / RAGE,tbd
World of Tanks: Mercenaries,tbd
World of Tanks: War Stories,tbd
Phantom Breaker: Battle Grounds - Frau Pack,tbd
Phantom Breaker: Battle Grounds - Kurisu Makise + Level 99 Pack,tbd
Just Dance 2018,75
FIFA 18,84
NBA 2K18,80
Pro Evolution Soccer 2018,83
Minecraft: Story Mode Season Two - Episode 1: Hero in Residence,88
Minecraft: Story Mode - Season Two: The Telltale Series,tbd
Disney/Pixar Cars 3: Driven to Win,100
Goat Simulator: Waste of Space,tbd
Batman: The Telltale Series - Episode 5: City of Light,75
Goat Simulator: Payday,tbd
Call of Duty: Black Ops Collection,tbd
Batman: The Telltale Series - Episode 4: Guardian of Gotham,75
Monster Hunter Frontier Z,tbd
Bullet Soul: Infinite Burst,81
Solaroids: Prologue,tbd
King's Quest Chapter 5: The Good Knight,78
Batman: The Telltale Series - Episode 3: New World Order,88
Just Dance 2017,85
Minecraft: Story Mode - A Telltale Games Series - The Complete Adventure,94
Skylanders Imaginators,79
Le Tour de France (2011),85
WWE 2K17,90
Batman: The Telltale Series - Episode 2: Children of Arkham,83
FIFA 17,84
King's Quest Chapter 4: Snow Place Like Home,88
Bullet Soul,76
NBA 2K17,88
Batman: The Telltale Series - Episode 1: Realm of Shadows,90
Batman: The Telltale Series,90
Minecraft: Story Mode - Episode 8: A Journey's End?,80
Pro Evolution Soccer 2017,85
The Bluecoats: North vs South,tbd
Caroline's Important LifeDiary,tbd
Survival Games Zombies,tbd
Yet Another Zombie Defense 2,tbd
Avatar Eras Online,tbd
Chasing Styx,tbd
Snake Party (2016),tbd
ESPERriririnTelekinesisTIME,tbd
Madden NFL 17,82
Prison Architect,83
Risk: Urban Assault,87
Prison Architect: All Day And A Night,tbd
LEGO Star Wars: The Force Awakens - The Empire Strikes Back Character Pack,tbd
LEGO Star Wars: The Force Awakens - Jabba's Palace Character Pack,tbd
LEGO Star Wars: The Force Awakens - The Freemaker Adventures Character Pack,tbd
Minecraft: Story Mode - Episode 7: Access Denied,75
LEGO Star Wars: The Force Awakens - The Prequel Trilogy Character Pack,tbd
Death Quota R,tbd
Loot or Die 2,tbd
Call of Duty: Black Ops III - The Giant,tbd
LEGO Star Wars: The Force Awakens,78
Dizeaze,tbd
Mighty No. 9,80
MotoGP 15,80
Last Stand (2016),tbd
GERONEKO,tbd
Minecraft: Story Mode - Episode 6: A Portal to Mystery,75
Teenage Mutant Ninja Turtles: Mutants in Manhattan,87
Global Warfare,tbd
Bubble Booster,tbd
Call of Duty: Modern Warfare Trilogy,tbd
Goat Simulator: GoatZ,tbd
Goat Simulator: Goat MMO Simulator,tbd
Call of Duty: Black Ops III - Awakening,96
Pinball FX 2: Aliens vs. Pinball,tbd
The Walking Dead: Michonne - Episode 3: What We Deserve,76
King's Quest Chapter 3: Once Upon a Climb,79
Rugby Challenge 3,75
Monster Hunter Frontier G10,tbd
Masquerade: The Baubles of Doom,tbd
CHESS MAGIC POWER 2016,tbd
Wizard Rage,tbd
Block Ops,tbd
Minecraft: Story Mode - A Telltale Games Series,tbd
Minecraft: Story Mode - A Telltale Games Series - Adventure Pass,tbd
The Walking Dead: Michonne - Episode 2: Give No Shelter,82
Minecraft: Story Mode - Episode 5: Order Up!,80
Avatar Laser Attack,tbd
Zombie Adventure,tbd
The Walking Dead: Michonne - A Telltale Miniseries,78
The Walking Dead: Michonne - Episode 1: In Too Deep,90
Yellow Fins,tbd
BOARDERS BEYOND BORDERS,tbd
Cobalt,90
Sexy Flight,tbd
Oft Horizon: Seascape,tbd
LEGO Marvel's Avengers,85
Rise of the Tomb Raider: Baba Yaga - The Temple of the Witch,85
Battlefield Hardline: Getaway,tbd
Multitasking,tbd
Resident Evil 0: HD Remaster,85
Crawlers and Brawlers,tbd
Star Wars Pinball: The Force Awakens,81
Adventures in Text,tbd
Space Assault Dragstar,tbd
Road Trip Sierra-Nevada,tbd
Mahjong Moves Mini,tbd
JAWSOME the 3rd,tbd
Tunnel Lords,tbd
Rise of the Tomb Raider: Endurance Mode,tbd
Oft Horizon: Precursor,tbd
Minecraft: Story Mode - Episode 4: A Block and a Hard Place,80
Croc's World 3,tbd
AVATOUR - MIAMI - HIDE & SEEK,tbd
The Escapists,80
Tony Hawk's Pro Skater 5,98
King's Quest Chapter 2: Rubble Without a Cause,80
DreamWorks Kung Fu Panda: Showdown of Legendary Legends,75
Handball 16,tbd
Minecraft: Story Mode - Episode 3: The Last Place You Look,75
Advance,tbd
Monster Hunter Frontier G9,tbd
Monster High: New Ghoul in School,tbd
Game of Thrones: A Telltale Games Series,90
Game of Thrones: Episode Six - The Ice Dragon,75
Borderlands Triple Pack,tbd
Rise of the Tomb Raider,86
The Jackbox Party Pack,78
Call of Duty: Black Ops III,81
The Peanuts Movie: Snoopy's Grand Adventure,95
Barbie and Her Sisters: Puppy Rescue,tbd
Block King 2,tbd
WWE 2K16,91
Battlefield 4: Community Operations,tbd
Minecraft: Story Mode - Episode 2: Assembly Required,80
Hartacon Tactics,tbd
Airport Anarchy - Lost Runways,tbd
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,86
Zombie Defense Squad 2,tbd
Life is Strange,85
Guitar Hero Live,80
Adventure Time: Finn & Jake Investigations,75
Tales from the Borderlands: A Telltale Game Series,85
Just Dance: Disney Party 2,tbd
Just Dance 2016,80
Pinball FX 2: Balls of Glory,tbd
Life is Strange: Episode 5 - Polarized,81
Marvel Puzzle Quest,91
Minecraft: Story Mode - A Telltale Games Series - Season Pass,tbd
Goosebumps: The Game,tbd
WRC 5,75
Back to the Future: The Game,78
Minecraft: Story Mode - Episode 1: The Order of the Stone,77
Geology Business,tbd
Plunder Party,tbd
Lootfest 360,tbd
RIDE,80
Metal Gear Solid V: Metal Gear Online,86
Transformers: Devastation,77
Ultra Aktion!,tbd
Battlefield Hardline: Robbery,tbd
LEGO Dimensions,80
NBA 2K16,87
FIFA 16,84
First South Beer Pong,tbd
Skylanders SuperChargers,81
2D World Creator Online,tbd
APOC TOWN,tbd
The Book of Unwritten Tales 2,80
Rugby League Live 3,tbd
Tropico 5: Espionage,tbd
Disney Frozen Free Fall: Snowball Fight,tbd
Pro Evolution Soccer 2016,87
NHL Legacy Edition,tbd
Caladrius,tbd
Rugby World Cup 2015,76
"Caladrius - Additional Characters: ""Sophia Fulcanelli""",tbd
"Caladrius - Additional Characters: ""Nightmare of the Lilith""",tbd
Metal Gear Solid V: The Phantom Pain,93
Destiny: The Taken King,86
Destiny: The Taken King - Legendary Edition,tbd
Battlefield 4: Night Operations,tbd
Disney Infinity 3.0 Edition,80
Press X to Not Die,tbd
Electric Racing Car,tbd
Board Games Live,tbd
Goat Simulator: Mmore Goatz Edition,83
Ultra Aktion,tbd
Madden NFL 16,83
Crypt of the Serpent King,96
Really Scary 3,tbd
Tales From The Borderlands: Episode 4 - Escape Plan Bravo,79
King's Quest Chapter 1: A Knight to Remember,80
King's Quest,tbd
Legend of Kay Anniversary,80
Life is Strange: Episode 4 - Dark Room,81
Deadliest Warrior: Battlegrounds,tbd
Game of Thrones: Episode Five - A Nest of Vipers,77
Monster Hunter Frontier G8,tbd
Maison Kanraku,tbd
Space Battle (2015),tbd
Guncraft,80
Skullgirls: Encore - Robo-Fortune,tbd
Game of Horror,tbd
Avatar Wasteland,tbd
Battlefield Hardline: Criminal Activity,tbd
The Sexy Exorcist,tbd
Tales From The Borderlands: Episode 3 - Catch A Ride,81
LEGO Jurassic World,80
Rayman Legends & Rayman Origins,tbd
Monster Jam Battlegrounds,tbd
Call of Duty: Advanced Warfare - Supremacy,80
Pinball FX 2: Portal Pinball,tbd
Fighting Edition: Tekken 6 / Tekken Tag Tournament 2 / SoulCalibur V,tbd
Game of Thrones: Episode Four - Sons of Winter,77
The Evil Within: The Executioner,78
NASCAR '15,tbd
Farming Simulator 15,80
One Night You're Crazy,tbd
Life is Strange: Episode 3 - Chaos Theory,81
Destiny: House of Wolves,88
Quest of Camaraderie and Care,tbd
Syberia II,80
More Fun With Twins,tbd
EquationFinder,tbd
RISK (2014),87
Tropico 5: Waterborne,75
Call of Duty: Black Ops Combo Pack,tbd
Super Jump Challenge,tbd
Pinball FX 2: Marvel's Avengers - Age of Ultron,tbd
"Shooting Love, 200X",tbd
The Evil Within: The Consequence,75
3 Days of Nurse Fanny,tbd
Skullgirls: Encore - Beowulf,tbd
Goat Simulator,100
Monster Hunter Frontier G7,tbd
Loot or Die,tbd
Dark Souls II: Scholar of the First Sin,87
Indiemon VS Zombies,tbd
Deck of Heroes,tbd
Geometry Wars 3: Dimensions Evolved,tbd
Ultimate Stealth Triple Pack,tbd
Ultimate Action Triple Pack,tbd
Call of Duty: Advanced Warfare - Ascendance,75
Zombie Shotgun Massacre 3,tbd
Motorcycle Club,94
Forza Horizon 2 Presents Fast & Furious,80
Tropico 5: Hostile Takeover,tbd
Game of Thrones: Episode Three - The Sword in the Darkness,77
Borderlands: The Pre-Sequel - Claptastic Voyage and Ultimate Vault Hunter Upgrade Pack 2,84
Life is Strange: Episode 2 - Out of Time,78
My Body Coach 3,tbd
Resident Evil: Revelations 2 - Extra Episode 1: The Struggle,tbd
Resident Evil: Revelations 2 - Episode 4: Metamorphosis,75
Resident Evil: Revelations 2 - Extra Episode 2: Little Miss,tbd
Resident Evil: Revelations 2,75
Battlefield Hardline,91
Tales From The Borderlands: Episode 2 - Atlas Mugged,78
Snipers,tbd
Resident Evil: Revelations 2 - Episode 3: Judgment,77
The Evil Within: The Assignment,80
Far Cry 4: Valley of the Yetis,76
WWE 2K15: NXT Arrival,tbd
Sniper Elite III: Ultimate Edition,80
Really Scary 2,tbd
Resident Evil: Revelations 2 - Episode 2: Contemplation,75
ScreamRide,100
Alien: Isolation - The Trigger,tbd
Classic Works Library,tbd
Bacto,tbd
Resident Evil: Revelations 2 - Episode 1: Penal Colony,75
Dragon Ball: Xenoverse,89
Handball Challenge 14,tbd
Dead or Alive 5 Last Round,100
Trivial Pursuit Live!,83
Avatar Hollow,tbd
Pillar,90
Real Evil,tbd
AvatarFortress,tbd
Pirates! Quest for Booty,tbd
Ghouls N Gals,tbd
norT:Tron 84,tbd
Alien: Isolation - Lost Contact,tbd
Disastr_Blastr,tbd
Game of Thrones: Episode Two - The Lost Lords,76
SpongeBob HeroPants,tbd
RetroBoy V1,tbd
Life is Strange: Episode 1 - Chrysalis,75
Air War (2015),tbd
Borderlands: The Pre-Sequel - Lady Hammerlock the Baroness Pack,tbd
Face Breaker,tbd
Karsus,tbd
T-Kara Puzzles,tbd
Resident Evil HD Remaster,83
Saints Row: Gat Out of Hell,85
Medieval Zombies (2015),tbd
Monopoly Deal,tbd
Monopoly Plus,87
Fat Cow - Hot Air,tbd
Alien: Isolation - Safe Haven,tbd
Assassin's Creed Rogue: Templar Legacy Pack,tbd
Assault Ops: Warzone,tbd
Sniper: Ghost Warrior - Double Pack,tbd
Mechanician Alex 2,tbd
Ask My Avatar Winter,tbd
Deadburg,tbd
PUZZLED !!!,tbd
Indiemon Battlegrounds,tbd
Really Scary,tbd
Croc's World 2,tbd
Billy's Job,tbd
Broken Pearl,tbd
Borderlands: The Pre-Sequel - Ultimate Vault Hunter Upgrade Pack: The Holodome Onslaught,tbd
Borderlands: The Pre-Sequel - Shock Drop Slaughter Pit,tbd
Zombie Hunter IV,tbd
Battle Academy,tbd
Saints Row Double Pack,tbd
JUJU,75
Pinball FX 2: Venom,tbd
Destiny: The Dark Below,96
Block King,tbd
Boot Hill Heroes,tbd
Chivalry: Medieval Warfare,79
Game of Thrones: Episode One - Iron From Ice,75
The Co-Op Zombie Game 2,tbd
Syberia,82
The Crew,85
Scarlet the Zombie Slayer,tbd
Alien: Isolation - Trauma,tbd
Twist Imperfect,tbd
Ascension - Climb The Tower,tbd
Sakura Flamingo Archives,tbd
Geometry Wars 3: Dimensions,82
Tales From The Borderlands: Episode 1 - Zer0 Sum,84
Cromo Dynamix,tbd
Cromo Dynamix,tbd
Samurai Showdown,tbd
Uncraft'Em All,tbd
Frankystein,tbd
Dead War,tbd
Monster Hunter Frontier G6,tbd
Dragon Age: Inquisition,85
Fright Light,tbd
Rabbids Invasion,89
Adventure Time: The Secret of the Nameless Kingdom,99
Far Cry 4,85
Escape Dead Island,96
Astral War,tbd
Battlefield 4: Final Stand,tbd
MXGP: The Official Motocross Videogame,80
Middle-earth: Shadow of Mordor,84
The Never Ending Game (2013),tbd
Toybox Turbos,78
LEGO Batman 3: Beyond Gotham,78
Digimon All-Star Rumble,98
Payday 2: Safecracker Edition,tbd
Pro Evolution Soccer 2015,82
Assassin's Creed Rogue,100
Tropico 5,75
Borderlands: The Pre-Sequel - Handsome Jack Doppelganger Pack,tbd
Tropico 5: The Big Cheese,tbd
Zombie Purge (2014),tbd
Survival Games Season 1,tbd
"Candy, Please!",tbd
Date The Boss,tbd
BioShock Infinite: Complete Edition,tbd
The Wolf Among Us,80
MotoGP 14,76
Call of Duty: Advanced Warfare,81
Alien: Isolation - Corporate Lockdown,tbd
Costume Quest 2,80
Teenage Mutant Ninja Turtles: Danger of the Ooze,tbd
Assassin's Creed: The Americas Collection,tbd
MX Vs ATV: Supercross,92
WWE 2K15,84
Retro City Rampage DX,83
Grand Theft Auto: San Andreas,95
Avatar of the Dead,tbd
Appease the Spider,tbd
The Legend of Korra,96
Just Dance 2015,75
The Voice: I Want You,tbd
F1 2014,80
Need for Speed: Rivals - Complete Edition,tbd
Fantasia: Music Evolved,77
Magnet Man,tbd
Desert Hoppers,tbd
Outpost Defender Online,tbd
Space Assault (2014),tbd
Pinball FX 2: South Park: Super-Sweet Pinball,tbd
Space Dual!,tbd
Skullgirls: Encore - Eliza,tbd
Pac-Man and the Ghostly Adventures 2,97
Borderlands: The Pre-Sequel,75
Duck Dynasty,tbd
The Evil Within,75
Alien: Isolation - Last Survivor,tbd
MUFFY BOY,tbd
Assault Ops,tbd
One Night Two Crazies,tbd
Alien: Isolation,79
NBA 2K15,83
Massive Cleavage vs Zombies,tbd
Alien: Isolation - Crew Expendable,tbd
Persona 4 Arena Ultimax - Additional Character 3: Margaret,tbd
Skylanders Trap Team,78
Jet Car Stunts,94
Falling Skies: The Game,93
Watch Dogs: Bad Blood,76
Persona 4 Arena Ultimax,84
Forza Horizon 2,86
Sherlock Holmes: Crimes & Punishments,77
Persona 4 Arena Ultimax - Additional Character 2: Marie,tbd
Persona 4 Arena Ultimax - Additional Character 1: Tohru Adachi,tbd
Dark Souls II: Crown of the Ivory King,82
Slender: The Arrival,90
FIFA 15,82
Disney Infinity 2.0 Edition,91
Anna: Extended Edition,75
Rabu*Raba! Makai no Koutaishi,tbd
Eternal Nightmare,tbd
A Difficult Game (2014),tbd
Border Dash,tbd
Bopscotch,tbd
Naruto Shippuden: Ultimate Ninja Storm Revolution,90
Stereoids,tbd
2D World Creator,tbd
Island Adventure IV,tbd
Super MechaMan,tbd
4.5 Trillion Puzzle,tbd
NHL 15,80
BLASTEROIDS (2014),tbd
Destiny,76
PLARINET,tbd
GT Attack,tbd
DELTA (2014),tbd
Impossiball (2016),tbd
Dead or Alive 5 Ultimate: Character Nyotengu,tbd
Nandeyanen!? - The 1st Sutra,tbd
The Walking Dead: Season Two Episode 5 - No Going Back,78
Dark Souls II: Crown of the Old Iron King,79
Pinball FX 2: The Walking Dead,tbd
Madden NFL 15,81
Under Defeat,100
Santa Slay,tbd
Diablo III: Ultimate Evil Edition,90
Paintball Wars 2,tbd
