name,developer,publisher
0 Day Attack on Earth,Gulti,Square Enix
007 Legends,Eurocom,Activision
007: Quantum of Solace,Treyarch,Activision
0-D Beat Drop,Cyclone Zero,Arc System Works
1 vs. 100,Microsoft Game Studios,Microsoft Game Studios
11eyes CrossOver,Lass,5pb.
1942: Joint Strike,Backbone Entertainment,Capcom
2006 FIFA World Cup,EA Canada,EA Sports
2010 FIFA World Cup South Africa,EA Canada,EA Sports
2014 FIFA World Cup Brazil,EA Canada,EA Sports
3 on 3 NHL Arcade,EA Canada,Electronic Arts
3D Ultra Minigolf Adventures,Wanako Games,Vivendi Games
3D Ultra Minigolf Adventures 2,Wanako Games,Konami
50 Cent: Blood on the Sand,Swordfish Studios,THQ
A.R.E.S.: Extinction Agenda EX,Extend Studio,Aksys Games
Absolute: Blazing Infinity,Idea Factory,Idea Factory
Abyss Odyssey,Ace Team,Atlus
AC/DC Live: Rock Band Track Pack,Harmonix,MTV Games
Ace Combat 6: Fires of Liberation,Namco Bandai Games,"Namco Bandai Games, AtariEU"
Ace Combat: Assault Horizon,Namco Bandai Games,Namco Bandai Games
Aces of the Galaxy,Artech Digital Entertainment,Vivendi Games
Adidas miCoach,Lightning Fish,505 Games
Adrenalin Misfits,Konami,Konami
Adventure Time: Explore the Dungeon Because I Don't Know!,WayForward Technologies,D3 Publisher
Adventure Time: Finn & Jake Investigations,Vicious Cycle Software,Little Orbit
Adventure Time: The Secret of the Nameless Kingdom,WayForward Technologies,Little Orbit
Adventures of ShuggyThe Adventures of Shuggy,Smudged Cat Games,Valcon Games
The Adventures of Tintin: The Secret of the Unicorn,Ubisoft Montpellier,Ubisoft
Aegis Wing,Carbonated Games,Microsoft Game Studios
AFL Live,Big Ant Studios,Tru Blu Entertainment
AFL Live 2,Wicked Witch Software,Tru Blu Entertainment
Afro Samurai,Namco Bandai Games,Namco Bandai Games
After Burner Climax,Sega,Sega
Age of Booty,Certain Affinity,Capcom
Air Conflicts: Pacific Carriers,Games Farm,bitComposer
Air Conflicts: Secret Wars,Games Farm,bitComposer
Air Conflicts: Vietnam,Kalypso Media,Kalypso Media
AirMech Arena,Carbon Games,Ubisoft
Akai Katana Shin,Cave,Cave
Akatsuki no Amaneka to Aoi Kyojin,CyberFront,CyberFront
Alan Wake,Remedy Entertainment,Microsoft Game Studios
Alan Wake's American Nightmare,Remedy Entertainment,Microsoft Studios
Alarm for Cobra 11: Crash Time,Synetic,RTL
Alice: Madness Returns,Spicy Horse,Electronic Arts
Alien Breed 2: Assault,Team17,Microsoft Game Studios
Alien Breed 3: Descent,Team17,Microsoft Game Studios
Alien Breed: Evolution,Team17,Microsoft Game Studios
Alien Hominid HD,The Behemoth,Microsoft Game Studios
Alien Rage,CI Games,CI Games
Alien Spidy,Enigma Software Productions,Kalypso Media
Alien: Isolation,The Creative Assembly,Sega
Aliens vs. Predator,Rebellion Developments,Sega
Aliens: Colonial Marines,Gearbox Software,Sega
All Round Hunter[note 3],Beast Studios,505 Games
All Zombies Must Die!,Doublesix,Square Enix
All-Pro Football 2K8,Visual Concepts,2K Sports
Alone in the Dark,Eden Games,Atari
Alpha Protocol,Obsidian Entertainment,Sega
Altered Beast,Backbone Entertainment,Sega
Alvin and the Chipmunks: Chipwrecked,Behaviour Interactive,"Majesco Entertainment, 505 Games"
The Amazing Spider-Man,Beenox,Activision
The Amazing Spider-Man 2,Beenox,Activision
Amaneka of Dawn and the Deep-Blue Golem,Kogado Studio,Cyberfront
American McGee's Alice,Silverball Studios,Square Enix
American Mensa Academy,Rogue Entertainment,Electronic Arts
America's Army: True Soldiers,Red Storm Entertainment,Ubisoft
Amped 3,Indie Built,2K Sports
AMY,VectorCell,Lexis Numérique
Anarchy Reigns,PlatinumGames,Sega
Ancients of Ooga,NinjaBee,Microsoft Game Studios
Angry Birds Star Wars,"Rovio Entertainment, Exient Entertainment",Activision
Angry Birds Trilogy,Rovio Entertainment,Activision
Anna: Extended Edition,Dreampainters,Kasedo Games
Anomaly: Warzone Earth,11 Bit Studios,Microsoft Studios
Apache: Air Assault,Gaijin Entertainment,Activision
Apocalypse: Desire Next,Idea Factory,Idea Factory
Apples to Apples,ImaginEngine,THQ
Aqua,Games Distillery,Microsoft Game Studios
AquaZone: Life Simulator,Frontier Groove,Frontier Groove
Arcana Heart 3,Examu,Arc System Works
Arcania: Gothic 4,Spellbound Entertainment,JoWood
Arcania: The Complete Tale[note 4],Spellbound Entertainment,Nordic Games
Are You Smarter Than a 5th Grader?: Game Time,Blitz Games,THQ
Are You Smarter Than a 5th Grader?: Make The Grade,Blitz Games,THQ
Arkadian Warriors,Wanako Games,Activision
Arkanoid Live!,Taito,Taito
Armored Core 4,FromSoftware,"Sega, 505 GamesEU, From SoftwareJP"
Armored Core V,FromSoftware,Namco Bandai Games America
Armored Core: For Answer,FromSoftware,Sega
Armored Core: Verdict Day,FromSoftware,Namco Bandai
Army of Two,EA Montreal,Electronic Arts
Army of Two: The 40th Day,EA Montreal,Electronic Arts
Army of Two: The Devil's Cartel,Visceral Games,Electronic Arts
Ascend: Hand of Kul,Signal Studios,Microsoft Studios
Ashes Cricket 2009,Transmission Games,Codemasters
Assassin's Creed,Ubisoft Montreal,Ubisoft
Assassin's Creed II,Ubisoft Montreal,Ubisoft
Assassin's Creed III,Ubisoft Montreal,Ubisoft
Assassin's Creed IV: Black Flag,Ubisoft Montreal,Ubisoft
Assassin's Creed Rogue,Ubisoft Sofia,Ubisoft
Assassin's Creed: Brotherhood,Ubisoft Montreal,Ubisoft
Assassin's Creed: Liberation HD,Ubisoft Sofia,Ubisoft
Assassin's Creed: Revelations,Ubisoft Montreal,Ubisoft
Assault Heroes,Wanako Games,Microsoft Game Studios
Assault Heroes 2,Wanako Games,Vivendi Games
Asterix at the Olympic Games,Étranges Libellules,Atari
Asteroids/Asteroids Deluxe,Stainless Games,Atari
AstroPop,PopCap Games,Microsoft Game Studios
Asura's Wrath,CyberConnect2,Capcom
Attack of the Movies 3D,Panic Button,Majesco Entertainment
A-Train HX,Artdink,"505 GamesEU, ArtdinkJP"
Autobahn Polizei,Tommo,Conspiracy Entertainment
Avatar FameStar,Microsoft Studios,Microsoft Studios
Avatar: The Last Airbender – The Burning Earth,THQ,THQ
Awesomenauts,Ronimo Games,dtp entertainment
Axel & Pixel,Silver Wish Games,2K Games
Babel Rising,Mando Productions,Ubisoft
Back to the Future: The Game,Telltale Games,Telltale Games
Backbreaker,NaturalMotion,505 Games
Backbreaker: Vengeance,NaturalMotion,505 Games
Backyard Football 2010,FarSight Studios,Atari
Backyard Sports: Rookie Rush,HB Studios,Atari
Backyard Sports: Sandlot Sluggers,HB Studios,Atari
Baja: Edge of Control,2XL Games,THQ
Bakugan Battle Brawlers,Now Production,Activision
Bakugan: Defenders of the Core,Now Production,Activision
Band Hero,Neversoft,Activision
Band of Bugs,NinjaBee,Microsoft Game Studios
BandFuse: Rock Legends,Realta Entertainment Group,Mastiff
Bang Bang Racing,Digital Reality,Digital Reality
Bangai-O HD: Missile Fury,Treasure,D3 Publisher
Banjo-Kazooie,Rare/4J Studios,Microsoft Game Studios
Banjo-Kazooie: Nuts & Bolts,Rare,Microsoft Game Studios
