name,publisher,developer,metascore
Kingdoms and Castles,"Lion Shield, LLC","Lion Shield, LLC",71
Zomborg,Grab The Games,GameDevLab,tbd
SteamWorld Build,Thunderful,The Station,73
1 Square,Misc.261,Marcus Fernandes,tbd
Elderand,Graffiti Games,Mantra,70
This Means Warp,Jagex,Outlier,tbd
All of Us Are Dead...,IKINA GAMES,IKINA GAMES,tbd
Truck & Logistics Simulator,Aerosoft,Aerosoft,tbd
Arcadian Atlas,Serenity Forge,Twin Otter Studios,64
Crashy Laps,JanduSoft,CheapeeSoft Games,tbd
Pinball M,Zen Studios,Zen Studios,tbd
Turok 3: Shadow of Oblivion,Night Dive Studios,Night Dive Studios,tbd
Pixel Cafe,Baltoro Games,Baltoro Games,tbd
Forest Grove,Blowfish Studios,Miga,tbd
Dofamine,Whale Rock Games,Whale Rock Games,tbd
The Traveler's Path,EastAsiaSoft,Creativer Game Studio,tbd
Heavy Burden,Whale Rock Games,Whale Rock Games,tbd
Orten Was The Case,Woodhill Interactive,Woodhill Interactive,tbd
Dead by Daylight: Chucky,Behaviour Interactive,Behaviour Interactive,tbd
Killer Instinct: Anniversary Edition,Xbox Game Studios,Iron Galaxy Studios,tbd
Evil Diary,Ratalaika Games,9Ratones,tbd
Timberman: The Big Adventure,Forever Entertainment,Forever Entertainment,tbd
Trash is Fun,Martian Teapots,Martian Teapots,tbd
Train Traffic Manager,Baltoro Games,Baltoro Games,tbd
Alina of the Arena,DANGEN Entertainment,PINIX,tbd
Namariel Legends: The Iron Lord,Big Fish Games,Shaman Games,tbd
Jurassic Park: Classic Games Collection,Limited Run Games,Carbon Engine,55
Train Valley 2: Community Edition,BlitWorks,Flazm,tbd
Deserted,Zebik Media Interactive,Zebik Media Interactive,tbd
Farm Builder,LAN - GAMES LTD,LAN - GAMES LTD,tbd
SETTRIS,EastAsiaSoft,Zoo Corporation,tbd
Worldless,Coatsink Software,Noname Studios,81
Pathfinder: Wrath of the Righteous - Lord of Nothing,Owlcat Games,Owlcat Games,tbd
Naruto x Boruto: Ultimate Ninja Storm Connections,Bandai Namco Games,CyberConnect2,69
Bluey: The Videogame,Outright Games,Artax Games,56
The Walking Dead: Destinies,GameMill Entertainment,Flux Games,29
Runnyk,lightUp,lightUp,tbd
The Myth Seekers 2: The Sunken City,Artifex Mundi,Sunward Games,tbd
Persona 5 Tactica,Sega,P-Studio,75
Final Shot,ChiliDog Interactive,ChiliDog Interactive,tbd
Low Story,Cursed Garden,Cursed Garden,tbd
Bakery Simulator,Ultimate Games,Live Motion Games,tbd
PowerWash Simulator: Back to the Future,Activision,Infinity Ward,tbd
Smoots Pinball,JanduSoft,Kaneda Games,tbd
The Sushi Spinnery,Kairosoft Co. Ltd,Kairosoft Co. Ltd,tbd
DREDGE: The Pale Reach,Team17,Black Salt Games,81
Skator Gator 3D,Weathered Sweater,Weathered Sweater,tbd
Jagged Alliance 3,THQ Nordic,Haemimont Games,81
Yohane the Parhelion: BLAZE in the DEEPBLUE,Inti Creates,Inti Creates,75
Flashback 2,Microids,Microids Studio Lyon,36
Venture Towns,Kairosoft Co. Ltd,Kairosoft Co. Ltd,74
Prison City,Retroware,Screenwave Media,tbd
Pocket Academy,Kairosoft Co. Ltd,Kairosoft Co. Ltd,76
The Last Faith,Playstack,Kumi Souls Games,73
Argonauts Agency: Golden Fleece,8Floor,8Floor,tbd
Tourist Trap,Tragico Media,Tragico Media,tbd
Lily in Puzzle World,EastAsiaSoft,DERIK DF,tbd
Hades' Star,Parallel Space Inc,Parallel Space Inc,tbd
