name,metascore
The Grinch: Christmas Adventures,95
Alphadia I & II,95
Lords of the Fallen,76
Chemically Bonded,96
Transformers: Earthspark - Expedition,96
Troublemaker: Raise Your Gang,87
Infinity Strash: Dragon Quest The Adventure of Dai,85
Hotel: A Resort Simulator,90
From Space,95
Astrosmash,88
Haunted House,96
RedRaptor,88
Between Time: Escape Room,93
The Crown of Wu,96
Lil Gator Game,84
Long Gone Days,80
Wild Card Football,80
Forza Motorsport,85
Pirates on Target,94
NHL 24,75
Zumania,89
Sword Art Online: Last Recollection,75
Sunshine Manor,80
The Sisters 2: Road to Fame,89
Asterix & Obelix: Heroes,91
Knight vs Giant: The Broken Excalibur,76
Cricket 24,90
Assassin's Creed Mirage,77
Wordless,95
Cassette Beasts: Pier of the Unknown,88
